"labels","Time","Line","tsNs","id"
"{""__tenant_id__"":""fake"",""container"":""commerce-nmqv3-console-nmqv3worker"",""service"":""my-qa-commerce-nmqv3""}",1710756841410,"{""time"":""2024-03-18T10:14:01.410477389Z"",""stream"":""stdout"",""_ts"":""2024-03-18T10:14:01.4103764Z"",""_msg"":""2024-03-18T10:14:01.4102948Z [Information] 成功取得角標商品頁列表，ProductBadgeId:95，API回傳數量:32"",""_lvl"":""Information"",""_srctx"":""NMQ.Core.Router.ProcessPool.WorkerProcessPool"",""_lt"":""Common"",""_hid"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""_props"":{""TaskId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""SourceId"":"""",""JobName"":""ProductBadgeArchiveJob"",""GroupName"":""commerce-nmqv3.group1"",""CorrelationId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""LogRootPath"":""D:\\logs\\nmq""},""source"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""kube_namespace"":""my-qa-commerce-nmqv3"",""kube_container_name"":""commerce-nmqv3-console-nmqv3worker""}",1710756841410477389,1710756841410477389_f4cf5db7
"{""__tenant_id__"":""fake"",""container"":""commerce-nmqv3-console-nmqv3worker"",""service"":""my-qa-commerce-nmqv3""}",1710756841325,"{""time"":""2024-03-18T10:14:01.32593757Z"",""stream"":""stdout"",""_ts"":""2024-03-18T10:14:01.3259020Z"",""_msg"":""2024-03-18T10:14:01.3258318Z [Information] 正在處理角標ID 95"",""_lvl"":""Information"",""_srctx"":""NMQ.Core.Router.ProcessPool.WorkerProcessPool"",""_lt"":""Common"",""_hid"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""_props"":{""TaskId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""SourceId"":"""",""JobName"":""ProductBadgeArchiveJob"",""GroupName"":""commerce-nmqv3.group1"",""CorrelationId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""LogRootPath"":""D:\\logs\\nmq""},""source"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""kube_namespace"":""my-qa-commerce-nmqv3"",""kube_container_name"":""commerce-nmqv3-console-nmqv3worker""}",1710756841325937570,1710756841325937570_9e1f6084
"{""__tenant_id__"":""fake"",""container"":""commerce-nmqv3-console-nmqv3worker"",""service"":""my-qa-commerce-nmqv3""}",1710756840276,"{""time"":""2024-03-18T10:14:00.276240352Z"",""stream"":""stdout"",""_ts"":""2024-03-18T10:14:00.2761190Z"",""_msg"":""2024-03-18T10:14:00.2760459Z [Information] 成功取得角標商品頁列表，ProductBadgeId:94，API回傳數量:32"",""_lvl"":""Information"",""_srctx"":""NMQ.Core.Router.ProcessPool.WorkerProcessPool"",""_lt"":""Common"",""_hid"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""_props"":{""TaskId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""SourceId"":"""",""JobName"":""ProductBadgeArchiveJob"",""GroupName"":""commerce-nmqv3.group1"",""CorrelationId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""LogRootPath"":""D:\\logs\\nmq""},""source"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""kube_namespace"":""my-qa-commerce-nmqv3"",""kube_container_name"":""commerce-nmqv3-console-nmqv3worker""}",1710756840276240352,1710756840276240352_3003e25d
"{""__tenant_id__"":""fake"",""container"":""commerce-nmqv3-console-nmqv3worker"",""service"":""my-qa-commerce-nmqv3""}",1710756840221,"{""time"":""2024-03-18T10:14:00.221399525Z"",""stream"":""stdout"",""_ts"":""2024-03-18T10:14:00.2213642Z"",""_msg"":""2024-03-18T10:14:00.2213211Z [Information] 正在處理角標ID 94"",""_lvl"":""Information"",""_srctx"":""NMQ.Core.Router.ProcessPool.WorkerProcessPool"",""_lt"":""Common"",""_hid"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""_props"":{""TaskId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""SourceId"":"""",""JobName"":""ProductBadgeArchiveJob"",""GroupName"":""commerce-nmqv3.group1"",""CorrelationId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""LogRootPath"":""D:\\logs\\nmq""},""source"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""kube_namespace"":""my-qa-commerce-nmqv3"",""kube_container_name"":""commerce-nmqv3-console-nmqv3worker""}",1710756840221399525,1710756840221399525_72b9741c
"{""__tenant_id__"":""fake"",""container"":""commerce-nmqv3-console-nmqv3worker"",""service"":""my-qa-commerce-nmqv3""}",1710756839281,"{""time"":""2024-03-18T10:13:59.281856277Z"",""stream"":""stdout"",""_ts"":""2024-03-18T10:13:59.2817524Z"",""_msg"":""2024-03-18T10:13:59.2816744Z [Information] 成功取得角標商品頁列表，ProductBadgeId:93，API回傳數量:32"",""_lvl"":""Information"",""_srctx"":""NMQ.Core.Router.ProcessPool.WorkerProcessPool"",""_lt"":""Common"",""_hid"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""_props"":{""TaskId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""SourceId"":"""",""JobName"":""ProductBadgeArchiveJob"",""GroupName"":""commerce-nmqv3.group1"",""CorrelationId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""LogRootPath"":""D:\\logs\\nmq""},""source"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""kube_namespace"":""my-qa-commerce-nmqv3"",""kube_container_name"":""commerce-nmqv3-console-nmqv3worker""}",1710756839281856277,1710756839281856277_900b6cde
"{""__tenant_id__"":""fake"",""container"":""commerce-nmqv3-console-nmqv3worker"",""service"":""my-qa-commerce-nmqv3""}",1710756839220,"{""time"":""2024-03-18T10:13:59.220205172Z"",""stream"":""stdout"",""_ts"":""2024-03-18T10:13:59.2201699Z"",""_msg"":""2024-03-18T10:13:59.2200566Z [Information] 正在處理角標ID 93"",""_lvl"":""Information"",""_srctx"":""NMQ.Core.Router.ProcessPool.WorkerProcessPool"",""_lt"":""Common"",""_hid"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""_props"":{""TaskId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""SourceId"":"""",""JobName"":""ProductBadgeArchiveJob"",""GroupName"":""commerce-nmqv3.group1"",""CorrelationId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""LogRootPath"":""D:\\logs\\nmq""},""source"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""kube_namespace"":""my-qa-commerce-nmqv3"",""kube_container_name"":""commerce-nmqv3-console-nmqv3worker""}",1710756839220205172,1710756839220205172_ebd6b669
"{""__tenant_id__"":""fake"",""container"":""commerce-nmqv3-console-nmqv3worker"",""service"":""my-qa-commerce-nmqv3""}",1710756838192,"{""time"":""2024-03-18T10:13:58.192427273Z"",""stream"":""stdout"",""_ts"":""2024-03-18T10:13:58.1923094Z"",""_msg"":""2024-03-18T10:13:58.1922284Z [Information] 成功取得角標商品頁列表，ProductBadgeId:92，API回傳數量:32"",""_lvl"":""Information"",""_srctx"":""NMQ.Core.Router.ProcessPool.WorkerProcessPool"",""_lt"":""Common"",""_hid"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""_props"":{""TaskId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""SourceId"":"""",""JobName"":""ProductBadgeArchiveJob"",""GroupName"":""commerce-nmqv3.group1"",""CorrelationId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""LogRootPath"":""D:\\logs\\nmq""},""source"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""kube_namespace"":""my-qa-commerce-nmqv3"",""kube_container_name"":""commerce-nmqv3-console-nmqv3worker""}",1710756838192427273,1710756838192427273_2973f6ba
"{""__tenant_id__"":""fake"",""container"":""commerce-nmqv3-console-nmqv3worker"",""service"":""my-qa-commerce-nmqv3""}",1710756838133,"{""time"":""2024-03-18T10:13:58.133739158Z"",""stream"":""stdout"",""_ts"":""2024-03-18T10:13:58.1336969Z"",""_msg"":""2024-03-18T10:13:58.1335878Z [Information] 正在處理角標ID 92"",""_lvl"":""Information"",""_srctx"":""NMQ.Core.Router.ProcessPool.WorkerProcessPool"",""_lt"":""Common"",""_hid"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""_props"":{""TaskId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""SourceId"":"""",""JobName"":""ProductBadgeArchiveJob"",""GroupName"":""commerce-nmqv3.group1"",""CorrelationId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""LogRootPath"":""D:\\logs\\nmq""},""source"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""kube_namespace"":""my-qa-commerce-nmqv3"",""kube_container_name"":""commerce-nmqv3-console-nmqv3worker""}",1710756838133739158,1710756838133739158_1d85ca1e
"{""__tenant_id__"":""fake"",""container"":""commerce-nmqv3-console-nmqv3worker"",""service"":""my-qa-commerce-nmqv3""}",1710756837140,"{""time"":""2024-03-18T10:13:57.140147061Z"",""stream"":""stdout"",""_ts"":""2024-03-18T10:13:57.1400636Z"",""_msg"":""2024-03-18T10:13:57.1400123Z [Information] 成功取得角標商品頁列表，ProductBadgeId:91，API回傳數量:32"",""_lvl"":""Information"",""_srctx"":""NMQ.Core.Router.ProcessPool.WorkerProcessPool"",""_lt"":""Common"",""_hid"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""_props"":{""TaskId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""SourceId"":"""",""JobName"":""ProductBadgeArchiveJob"",""GroupName"":""commerce-nmqv3.group1"",""CorrelationId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""LogRootPath"":""D:\\logs\\nmq""},""source"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""kube_namespace"":""my-qa-commerce-nmqv3"",""kube_container_name"":""commerce-nmqv3-console-nmqv3worker""}",1710756837140147061,1710756837140147061_becdf5e0
"{""__tenant_id__"":""fake"",""container"":""commerce-nmqv3-console-nmqv3worker"",""service"":""my-qa-commerce-nmqv3""}",1710756837089,"{""time"":""2024-03-18T10:13:57.089964382Z"",""stream"":""stdout"",""_ts"":""2024-03-18T10:13:57.0899298Z"",""_msg"":""2024-03-18T10:13:57.0898742Z [Information] 正在處理角標ID 91"",""_lvl"":""Information"",""_srctx"":""NMQ.Core.Router.ProcessPool.WorkerProcessPool"",""_lt"":""Common"",""_hid"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""_props"":{""TaskId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""SourceId"":"""",""JobName"":""ProductBadgeArchiveJob"",""GroupName"":""commerce-nmqv3.group1"",""CorrelationId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""LogRootPath"":""D:\\logs\\nmq""},""source"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""kube_namespace"":""my-qa-commerce-nmqv3"",""kube_container_name"":""commerce-nmqv3-console-nmqv3worker""}",1710756837089964382,1710756837089964382_9ab68500
